species_id,stId,name,FDR,entities_tot,entities_found,reactions_tot,reactions_found
9606,R-HSA-9013026,RHOB GTPase cycle,0.00013204639633723758,75,8,6,3
9606,R-HSA-9013106,RHOC GTPase cycle,0.00013204639633723758,79,8,6,3
9606,R-HSA-9012999,RHO GTPase cycle,0.00194119135683124,460,15,91,33
9606,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.007946135641029306,724,17,212,59
9606,R-HSA-194315,Signaling by Rho GTPases,0.007946135641029306,708,17,203,59
9606,R-HSA-8980692,RHOA GTPase cycle,0.007946135641029306,154,8,6,3
9606,R-HSA-8953854,Metabolism of RNA,0.007946135641029306,862,19,244,66
9606,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.007946135641029306,317,11,52,39
9606,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,0.007946135641029306,90,6,13,13
9606,R-HSA-4570464,SUMOylation of RNA binding proteins,0.007946135641029306,51,5,4,4
9606,R-HSA-9013409,RHOJ GTPase cycle,0.007946135641029306,59,5,3,2
9606,R-HSA-9013406,RHOQ GTPase cycle,0.009905000952712184,63,5,5,2
9606,R-HSA-9013149,RAC1 GTPase cycle,0.010413708306130642,191,8,6,2
9606,R-HSA-9013148,CDC42 GTPase cycle,0.01780969305291702,159,7,6,2
9606,R-HSA-9696270,RND2 GTPase cycle,0.020232312907844885,44,4,2,1
9606,R-HSA-1169408,ISG15 antiviral mechanism,0.021141303664473643,83,5,16,2
9606,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.021141303664473643,46,4,3,3
9606,R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.021141303664473643,47,4,9,9
9606,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,0.021141303664473643,81,5,4,4
9606,R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.021141303664473643,48,4,8,2
9606,R-HSA-4615885,SUMOylation of DNA replication proteins,0.023581714686448763,50,4,8,4
9606,R-HSA-9013404,RAC2 GTPase cycle,0.028262686978847373,92,5,10,3
9606,R-HSA-9013423,RAC3 GTPase cycle,0.03876233868778656,100,5,6,2
9606,R-HSA-4551638,SUMOylation of chromatin organization proteins,0.04506877721025404,62,4,15,4
